epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5267,0.99944,2.97137,1.14342,0.00963,1,0.12656,0.07364,0.80273,3.00771,0.97533,1.667e-05,1.667e-05,1.667e-05
2,23.1053,0.84969,2.96511,1.07864,0.00982,1,0.15541,0.10667,0.72037,2.99186,0.93366,4.95149e-05,4.95149e-05,4.95149e-05
3,32.5792,0.79202,2.89869,1.04373,0.01006,1,0.30432,0.21452,0.65131,2.96799,0.9009,8.16997e-05,8.16997e-05,8.16997e-05
4,41.8505,0.62527,2.77886,0.98699,0.01008,1,0.45977,0.3731,0.55903,2.91576,0.86696,0.000113224,0.000113224,0.000113224
5,51.2808,0.69355,2.65708,1.02278,0.00999,1,0.56858,0.47232,0.52327,2.89583,0.82931,0.000144089,0.000144089,0.000144089
6,60.456,0.76094,2.50381,1.09298,0.00982,1,0.58505,0.49446,0.48769,2.8805,0.81454,0.000174293,0.000174293,0.000174293
7,69.7966,0.68508,2.34118,1.00206,0.0097,1,0.59704,0.48047,0.57891,2.86342,0.83325,0.000203837,0.000203837,0.000203837
8,79.0371,0.6168,2.19235,0.9903,0.00963,1,0.60075,0.48367,0.59639,2.83295,0.84949,0.000232722,0.000232722,0.000232722
9,88.2583,0.79454,2.05416,1.04505,0.00963,1,0.61965,0.50991,0.56577,2.80749,0.84009,0.000260946,0.000260946,0.000260946
10,97.4954,0.64494,2.03375,0.95941,0.00957,1,0.69226,0.58993,0.5501,2.77686,0.82727,0.000288509,0.000288509,0.000288509
11,106.77,0.74671,1.92086,1.02289,0.00957,1,0.67086,0.56835,0.54933,2.74588,0.82604,0.000315413,0.000315413,0.000315413
12,115.984,0.71175,1.82566,1.02382,0.00956,1,0.64264,0.5428,0.54403,2.70609,0.82684,0.000341657,0.000341657,0.000341657
13,125.176,0.7532,1.97349,1.11459,0.00955,1,0.63868,0.53952,0.54452,2.68191,0.83803,0.00036724,0.00036724,0.00036724
14,134.537,0.71007,1.70834,1.04835,0.00953,1,0.64737,0.55444,0.57106,2.63321,0.86312,0.000392163,0.000392163,0.000392163
15,143.64,0.80078,1.6678,1.0816,0.48094,0.46912,0.69283,0.58774,0.5841,2.58405,0.86702,0.000416427,0.000416427,0.000416427
16,152.798,0.7043,1.59395,1.01756,0.91981,0.20246,0.71286,0.61874,0.59154,2.54344,0.86946,0.00044003,0.00044003,0.00044003
17,162.032,0.81216,1.51899,1.13243,0.91788,0.19621,0.74344,0.63089,0.63016,2.50872,0.87932,0.000462973,0.000462973,0.000462973
18,171.237,0.8019,1.46685,1.07795,0.92857,0.23076,0.77891,0.66185,0.65191,2.56307,0.89137,0.000485255,0.000485255,0.000485255
19,180.474,0.75948,1.36821,1.11073,0.92615,0.22295,0.75781,0.64068,0.63574,2.59029,0.89529,0.000506878,0.000506878,0.000506878
20,189.678,0.73114,1.39635,1.08307,0.88064,0.24639,0.77104,0.64364,0.6278,2.58697,0.91834,0.000527841,0.000527841,0.000527841
21,198.9,0.77372,1.23516,1.09142,0.90392,0.42922,0.78612,0.6536,0.63278,2.55198,0.91296,0.000548143,0.000548143,0.000548143
22,208.164,0.5992,1.12723,0.98435,0.92834,0.48681,0.85629,0.72239,0.5999,2.43349,0.89259,0.000567785,0.000567785,0.000567785
23,217.482,0.76103,1.18043,1.0383,0.95028,0.64655,0.92579,0.79307,0.65564,2.23555,0.86629,0.000586767,0.000586767,0.000586767
24,226.71,0.75041,1.16902,1.13219,0.90583,0.74725,0.93667,0.79099,0.65359,2.05432,0.87749,0.000605089,0.000605089,0.000605089
25,235.913,0.66414,1.05577,0.978,0.873,0.76426,0.94972,0.79619,0.66536,1.9563,0.89468,0.000622751,0.000622751,0.000622751
26,245.131,0.69694,1.13181,1.02077,0.88248,0.78571,0.939,0.76928,0.65955,1.97174,0.90007,0.000639753,0.000639753,0.000639753
27,254.376,0.80284,1.02218,1.03531,0.90597,0.77829,0.94017,0.8009,0.63039,1.97707,0.88546,0.000656095,0.000656095,0.000656095
28,263.618,0.66979,0.98909,0.98803,0.90597,0.77829,0.94017,0.8009,0.63039,1.97707,0.88546,0.000671776,0.000671776,0.000671776
29,272.893,0.70055,1.02514,0.99491,0.95116,0.84497,0.98375,0.85691,0.674,1.88881,0.90312,0.000686797,0.000686797,0.000686797
30,282.165,0.75777,1.10426,1.12434,0.8882,0.92857,0.98625,0.79683,0.72598,1.75156,0.92518,0.000701159,0.000701159,0.000701159
31,291.362,0.7491,0.98754,1.03498,0.8882,0.92857,0.98625,0.79683,0.72598,1.75156,0.92518,0.00071486,0.00071486,0.00071486
32,300.558,0.70626,1.0011,1.03947,0.9255,0.94724,0.9925,0.77991,0.75759,1.55029,0.94675,0.000727901,0.000727901,0.000727901
